名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
福留ハム,東証2部,食料品,食品 ,26697,357,444,303,17064,6252,2691,5107,7548,36.6,5,1.8,17000000
モリテック スチール,東証1部,金属製品,建設・資材 ,26712,692,559,531,23105,12653,1848,1744,10286,54.8,4.27,2.29,22558063
ジー・テイスト,東証JQS,小売業,小売 ,26739,631,623,-127,21396,9969,100,6783,16552,46.6,-1.26,-0.6,197051738
アルプス技研,東証1部,サービス業,情報通信・サービスその他 ,26743,2857,2949,1988,16458,10827,2347,720,41057,65.8,19.45,12.82,11248489
アルファシステムズ,東証1部,情報・通信業,情報通信・サービスその他 ,26806,2560,2630,1737,41387,33207,8500,500,34240,80.2,5.32,4.27,14848200
ウェーブロックホールディングス,東証2部,化学,素材・化学 ,26886,1359,1696,1107,28541,8900,2185,10816,15769,31.2,12.81,3.87,11120538
大田花き,東証JQS,卸売業,商社・卸売 ,26995,16,62,30,9999,4646,551,2912,4334,46.5,0.64,0.31,5500000
神鋼鋼線工業,東証2部,鉄鋼,鉄鋼・非鉄 ,27040,709,513,328,42389,16120,8062,13220,10918,38,2.06,0.77,58698864
ウェッズ,東証JQS,輸送用機器,自動車・輸送機 ,27058,1417,1572,1079,16522,11425,852,1153,11122,69.2,9.77,6.67,16118166
アシードホールディングス,東証2部,小売業,小売 ,27093,558,548,223,13869,4352,798,3238,9595,31.4,5.18,1.56,13495248
WDI,東証JQS,小売業,小売 ,27158,1476,1459,326,12801,2368,585,6197,9080,18.5,14.41,2.61,6331920
日本ピラー工業,東証1部,機械,機械 ,27225,5166,5255,3204,49347,36740,4966,2147,40744,74.5,9.07,7,25042406
日本フイルコン,東証1部,金属製品,建設・資材 ,27263,1895,1943,1661,36129,16945,2685,8396,14342,46.9,9.87,4.66,22167211
三洋工業,東証1部,金属製品,建設・資材 ,27342,824,930,849,23568,13839,1760,406,7814,58.7,6.31,3.59,35200000
澤藤電機,東証1部,電気機器,電機・精密 ,27361,478,654,499,19588,8060,1080,779,12469,41.1,6.52,2.59,21610000
塩水港精糖,東証1部,食料品,食品 ,27364,726,838,549,24929,7620,1750,13901,8820,30.6,7.6,2.22,35000000
ヴィンクス,東証2部,情報・通信業,情報通信・サービスその他 ,27430,1309,1243,859,16031,7351,596,1710,10976,45.9,12.23,5.37,8859000
JFEコンテイナー,東証2部,金属製品,建設・資材 ,27447,2892,2966,1888,35699,23743,2365,1584,11642,66.5,8.16,5.35,28675000
巴コーポレーション,東証1部,建設業,建設・資材 ,27538,2755,2957,2533,49709,25954,3000,4308,16835,52.2,10.26,5.02,40763046
TOWA,東証1部,機械,機械 ,27632,3831,4131,3867,36036,24694,8932,3901,44139,68.5,16.71,11.31,25021832
東洋機械金属,東証1部,機械,機械 ,27707,1823,1822,1505,26264,14790,2506,1350,18012,56.3,10.54,5.93,20703000
松井証券,東証1部,証券、商品先物取引業,金融（除く銀行） ,27727,14939,15044,10697,770716,94739,11945,126250,222968,12.3,11.42,1.49,259264702
荏原実業,東証1部,機械,機械 ,27771,1290,1420,1029,23434,10624,1001,1090,10731,45.3,10.22,4.43,6715000
ジャフコ,東証1部,証券、商品先物取引業,金融（除く銀行） ,27857,12324,13666,11073,237902,207855,33251,4320,178700,87.4,5.57,4.9,32550000
戸田工業,東証1部,化学,素材・化学 ,27889,-151,-1116,-2926,46356,17015,7477,21023,31899,36.7,-15.7,-6.12,60991922
SYSKEN,東証2部,建設業,建設・資材 ,27899,961,1188,755,22360,11730,801,3340,4611,52.5,6.68,3.46,13100000
タケエイ,東証1部,サービス業,情報通信・サービスその他 ,27973,2400,2275,1245,61248,26297,6640,28110,29143,42.9,4.79,2.22,24552000
シライ電子工業,東証JQS,電気機器,電機・精密 ,28042,676,505,305,20217,3407,1361,8961,4430,16.9,8.86,1.46,13976000
オーウイル,東証2部,卸売業,商社・卸売 ,28121,326,331,202,8709,2074,363,1941,3150,23.8,10.18,2.48,3150000
キムラ,東証JQS,卸売業,商社・卸売 ,28329,1240,1264,620,23597,9729,793,6282,7499,41.2,6.59,3.04,15180000
テイツー,東証JQS,小売業,小売 ,28345,-467,-451,-1104,7951,2396,1165,3000,2834,30.1,-37.59,-12.81,54492000
エルナー,東証2部,電気機器,電機・精密 ,28542,790,-285,-1145,25382,768,3511,15301,7266,3,-93.55,-4.56,67279458
田中商事,東証1部,卸売業,商社・卸売 ,28817,1114,1125,766,22995,10437,1073,5270,6562,45.4,7.54,3.38,8832000
ヒト・コミュニケーションズ,東証1部,情報・通信業,情報通信・サービスその他 ,28825,2803,2811,1562,11539,8066,737,100,33079,69.9,21.14,14.26,17900000
トーカロ,東証1部,金属製品,建設・資材 ,28963,5645,5801,4070,44331,30647,2658,3203,68414,69.1,13.93,9.89,15800000
三共生興,東証1部,卸売業,商社・卸売 ,28970,1923,2478,1837,52723,35249,3000,5944,25080,66.9,5.43,3.53,60000000
靜甲,東証JQS,機械,機械 ,29026,599,689,410,20221,13130,100,1079,4623,64.9,3.17,2.09,6483323
フジ・コーポレーション,東証1部,小売業,小売 ,29036,2200,2259,1355,21094,10917,1236,4842,21987,51.8,14.04,6.36,10485000
三精テクノロジーズ,東証2部,機械,機械 ,29122,3226,3396,2224,40303,27668,3251,2930,17979,68.6,8.34,5.84,19332057
エンビプロ・ホールディングス,東証2部,鉄鋼,鉄鋼・非鉄 ,29122,796,1000,768,17886,8682,704,5873,7245,48.5,9.19,4.67,6468540
ヒビノ,東証JQS,サービス業,情報通信・サービスその他 ,29133,2009,2160,1500,22430,8586,1748,5579,20244,38.3,18.67,6.48,10265480
佐田建設,東証1部,建設業,建設・資材 ,29140,1097,1095,1266,23163,11985,1886,1116,7295,51.7,11.05,5.62,15521233
モロゾフ,東証1部,食料品,食品 ,29167,2010,2067,1226,22546,14343,3737,1850,28547,63.6,8.94,5.56,3669226
アライドテレシスホールディングス,東証2部,電気機器,電機・精密 ,29301,572,-430,111,21007,3192,9987,7493,6544,15.2,3.76,0.54,109059545
鳥貴族,東証1部,小売業,小売 ,29336,1457,1426,967,15942,6333,1491,2451,38005,39.7,16.29,6.81,11622300
タカラバイオ,東証1部,化学,素材・化学 ,29375,3202,3579,1352,67143,59885,14965,129,183875,89.2,2.26,2.02,120415600
マーベラス,東証1部,情報・通信業,情報通信・サービスその他 ,29387,5754,5810,4165,24228,16530,1128,260,51932,68.2,27.37,18.68,53593100
梅の花,東証2部,小売業,小売 ,29398,161,60,96,26818,5724,4123,17633,21479,21.3,1.52,0.4,7489200
シー・ヴイ・エス・ベイエリア,東証1部,小売業,小売 ,29452,-33,213,94,12817,2193,1200,5903,3570,17.1,4.31,0.74,5064000
ワイエイシイホールディングス,東証1部,機械,機械 ,29452,1036,1122,790,32470,13799,2756,9857,11629,42.5,5.84,2.35,9706877
ニュートン・フィナンシャル・コンサルティング,東証JQS,保険業,金融（除く銀行） ,29471,4522,4539,2063,24206,10294,2237,8721,39036,42.5,21.24,8.45,19107000
プレステージ・インターナショナル,東証1部,サービス業,情報通信・サービスその他 ,29477,3768,4124,2789,30186,21163,1415,600,72320,70.1,14.36,9.94,63662000
エスクリ,東証1部,サービス業,情報通信・サービスその他 ,29477,1343,1224,713,26560,5937,594,10995,9799,22.4,12.66,2.78,11935500
ベネフィット・ワン,東証2部,サービス業,情報通信・サービスその他 ,29478,5852,5727,3855,26779,14683,1527,267,205631,54.8,29.05,15.81,45144000
メディカル一光,東証JQS,小売業,小売 ,29489,1200,1153,956,24908,8095,917,11053,16382,32.5,12.46,3.85,2035000
アネスト岩田,東証1部,機械,機械 ,29548,3733,4139,3400,38895,26719,3354,214,44000,68.7,13.31,9.24,41745505
中野冷機,東証JQS,機械,機械 ,29585,2869,2969,1929,40197,25882,822,250,32100,64.4,7.67,4.85,8954000
ヴィア・ホールディングス,東証1部,小売業,小売 ,29586,747,666,246,20831,6163,3697,8999,25590,29.6,3.77,1.16,29617500
生化学工業,東証1部,医薬品,医薬品 ,29589,1282,2477,1787,80048,70646,3840,427,111299,88.3,2.54,2.23,56814093
ユシロ化学工業,東証1部,石油・石炭製品,エネルギー資源 ,29605,2437,3017,1697,40560,27546,4249,2363,22699,67.9,6.24,4.26,13900065
ウッドフレンズ,東証JQS,不動産業,不動産 ,29615,1048,809,530,19412,5044,279,10101,3833,26,10.99,2.83,1480000
サンオータス,東証JQS,小売業,小売 ,29702,-156,-110,-243,14355,2587,411,6840,1079,18,-8.93,-1.69,3230500
ステラ ケミファ,東証1部,化学,素材・化学 ,29850,4372,4154,2824,52081,28078,3688,13966,63652,53.9,10.66,5.7,12604416
東京ラヂエーター製造,東証2部,輸送用機器,自動車・輸送機 ,29856,1967,1900,1392,30325,19912,1317,97,14789,65.7,7.19,4.57,14400000
前田工繊,東証1部,その他製品,情報通信・サービスその他 ,29888,3848,3793,2871,34156,23848,3439,1796,58896,69.8,12.59,8.56,32236300
LIFULL,東証1部,サービス業,情報通信・サービスその他 ,29920,4066,4087,2765,27110,18471,3999,1453,112731,68.1,15.62,10.56,118789100
ラサ商事,東証1部,卸売業,商社・卸売 ,29937,1459,1639,1348,27751,12963,1854,8060,13144,46.7,10.78,4.79,12400000
クリエイト,東証JQS,卸売業,商社・卸売 ,29957,244,370,110,14449,3686,646,2193,2203,25.5,3.03,0.77,3969000
ハーモニック・ドライブ・システムズ,東証JQS,機械,機械 ,30069,7813,7958,19732,87734,55001,1610,15665,572286,62.7,42.84,28.91,94749300
東北化学薬品,東証JQS,卸売業,商社・卸売 ,30097,197,232,125,13234,4765,820,613,3173,36,2.63,0.92,4800000
日本金銭機械,東証1部,機械,機械 ,30230,1752,1533,1012,39755,28907,2216,3703,34053,72.7,3.48,2.52,29662851
アプライド,東証JQS,小売業,小売 ,30237,1261,1260,668,13090,4191,381,4452,4795,32,17.09,5.09,2703200
電算システム,東証1部,情報・通信業,情報通信・サービスその他 ,30369,1125,1157,732,44991,8444,1229,1089,19478,18.8,8.98,1.95,10040000
GMOアドパートナーズ,東証JQS,サービス業,情報通信・サービスその他 ,30494,264,275,-21,10668,4503,1301,900,7608,42.2,-0.46,-0.2,16757200
DDホールディングス,東証1部,小売業,小売 ,30509,1641,1435,648,18737,3897,661,9517,19917,20.8,18.54,3.74,7801360
東亜石油,東証2部,石油・石炭製品,エネルギー資源 ,30557,3438,3318,2315,89626,24736,8415,13120,18416,27.6,9.68,2.4,124435000
田辺工業,東証2部,建設業,建設・資材 ,30593,1746,1825,1195,24001,12635,885,2125,10782,52.6,9.87,5.11,10728000
シャクリー・グローバル・グループ,東証JQS,卸売業,商社・卸売 ,30683,943,183,-2182,40785,15103,100,11098,22654,37,-13.43,-4.96,25920000
内海造船,東証2部,輸送用機器,自動車・輸送機 ,30791,547,307,276,29348,7491,1200,8334,4326,25.5,3.75,0.89,22530000
チヨダウーテ,東証JQS,ガラス・土石製品,建設・資材 ,30861,587,577,429,35164,12613,4674,12286,8835,35.9,3.44,1.21,17670000
クレスコ,東証1部,情報・通信業,情報通信・サービスその他 ,30893,2707,3078,2042,20763,13888,2514,205,46440,66.9,15.67,10.21,12000000
フェリシモ,東証1部,小売業,小売 ,30906,-499,-493,-7548,29062,14899,1868,3000,12966,51.3,-37.85,-22.71,10043500
日本ドライケミカル,東証1部,機械,機械 ,30919,1268,1287,867,24320,10512,700,3074,8561,43.2,8.5,3.48,3590906
協立電機,東証JQS,電気機器,電機・精密 ,30940,1383,1450,1064,20963,9833,1441,1700,9682,46.9,11.5,4.98,4369200
大真空,東証1部,電気機器,電機・精密 ,30959,1395,1551,695,60696,26384,19344,19465,17013,43.5,2.67,1.15,9049242
日本石油輸送,東証1部,陸運業,運輸・物流 ,30960,1150,1467,1014,32352,17919,1661,407,9849,55.4,5.85,3.24,3322935
セゾン情報システムズ,東証JQS,情報・通信業,情報通信・サービスその他 ,31024,3351,3177,2366,22283,7446,1367,6300,26309,33.4,38.11,10.38,16200000
オプテックスグループ,東証1部,電気機器,電機・精密 ,31027,3015,3086,1809,37681,24504,2798,1993,74922,65,7.45,5.28,17484732
ジオスター,東証2部,ガラス・土石製品,建設・資材 ,31044,2838,2812,1943,31558,16452,3352,3280,28251,52.1,12.31,6.44,31530000
大興電子通信,東証2部,卸売業,商社・卸売 ,31063,484,471,595,21402,3635,1869,3838,9408,17,18.33,2.85,12561219
コマニー,東証2部,その他製品,情報通信・サービスその他 ,31070,1099,1143,507,33923,21891,7121,2694,15511,64.5,2.32,1.49,9924075
ナ・デックス,東証JQS,卸売業,商社・卸売 ,31133,1767,1782,1255,23097,13260,1028,661,9663,57.4,9.91,5.42,9605800
森組,東証2部,建設業,建設・資材 ,31139,1625,1591,1164,22927,7996,1640,2280,6265,34.9,15.65,5.16,32800000
中外炉工業,東証1部,建設業,建設・資材 ,31146,774,919,978,38502,20295,6176,3988,17082,52.7,4.94,2.5,78000000
イーレックス,東証1部,電気・ガス業,電力・ガス ,31167,3535,3219,1917,42473,13297,5139,16283,53058,31.3,14.16,5.5,50580000
東邦チタニウム,東証1部,非鉄金属,鉄鋼・非鉄 ,31212,3726,3874,3367,83439,39034,11963,32958,57872,46.8,8.97,4.05,71270910
オリジン電気,東証1部,電気機器,電機・精密 ,31301,930,1180,-1376,42258,21197,6103,4076,12395,50.2,-6.23,-3.24,33499931
和田興産,東証JQS,不動産業,不動産 ,31374,3063,2193,1370,76218,18725,891,44231,8500,24.6,7.55,1.86,10000000
THEグローバル社,東証1部,不動産業,不動産 ,31404,1837,1463,949,32633,7439,394,22816,11677,22.8,13.46,3.19,13468600
美樹工業,東証JQS,建設業,建設・資材 ,31436,2033,2038,1273,27378,10047,764,9105,5074,36.7,13.46,4.59,1153263
中本パックス,東証1部,その他製品,情報通信・サービスその他 ,31482,1311,1368,821,25398,10525,1057,6598,13282,41.4,8.34,3.36,4086660
ホットランド,東証1部,小売業,小売 ,31533,1077,964,-661,15518,3748,1671,6644,26044,24.2,-15.83,-4.21,18419000
東洋埠頭,東証1部,倉庫・運輸関連業,運輸・物流 ,31587,1566,1744,1130,37836,18810,8260,11813,15016,49.7,6.26,2.98,77400000
カーチスホールディングス,東証2部,卸売業,商社・卸売 ,31587,-141,-105,-342,8467,5850,2816,805,5805,69.1,-5.22,-3.66,24087009
藤倉ゴム工業,東証1部,ゴム製品,自動車・輸送機 ,31621,1736,1802,1269,33337,23748,3804,3055,22086,71.2,5.44,3.87,23446209
オーエムツーネットワーク,東証JQS,小売業,小売 ,31650,1606,1917,1158,15171,11309,466,370,9668,74.5,10.9,7.44,7335634
太平洋興発,東証1部,卸売業,商社・卸売 ,31689,939,776,638,37841,14176,4244,11242,8095,37.5,4.6,1.71,77834489
サンエー化研,東証JQS,化学,素材・化学 ,31702,1394,1460,992,34930,18663,2176,5558,12135,53.4,5.54,2.97,11320000
トップカルチャー,東証1部,小売業,小売 ,31745,744,700,378,24528,7197,2007,6164,6407,29.3,5.32,1.44,12688000
日本精線,東証1部,鉄鋼,鉄鋼・非鉄 ,31799,2560,2535,1771,37307,25835,5000,1181,30579,69.2,7.06,4.93,32461468
ナカニシ,東証JQS,精密機器,電機・精密 ,31829,8459,7643,5297,61907,55742,867,100,157099,90,9.77,8.8,31419800
南陽,福証,小売業,小売 ,31836,1919,2038,1337,30947,14739,1181,2464,12542,47.6,9.47,4.38,6615070
川金ホールディングス,東証2部,鉄鋼,鉄鋼・非鉄 ,31981,2165,2041,755,37773,14957,500,11189,7440,39.6,5.21,2.07,20000000
日本ヒューム,東証1部,ガラス・土石製品,建設・資材 ,32072,1498,1958,1383,47501,29354,5251,1212,19927,61.8,4.83,3.03,29347500
富士通ビー・エス・シー,東証JQS,情報・通信業,情報通信・サービスその他 ,32072,1414,1372,1402,23282,15994,1970,48,13027,68.7,9.12,6.1,11800000
文教堂グループホールディングス,東証JQS,小売業,小売 ,32155,-85,-72,-331,24106,380,2035,16810,8095,1.6,-60.79,-1.35,14004715
MARUWA,東証1部,ガラス・土石製品,建設・資材 ,32187,4953,4978,2850,50593,43317,8646,22,78438,85.6,6.7,5.75,12372000
ビケンテクノ,東証2部,サービス業,情報通信・サービスその他 ,32213,1221,1372,773,28870,14096,1808,8378,6106,48.8,5.59,2.6,7718722
ハンズマン,東証JQS,小売業,小売 ,32222,2282,2505,1719,17629,10644,1057,2523,22345,60.4,16.03,9.65,14509800
カンセキ,東証JQS,小売業,小売 ,32253,841,600,173,26322,6027,1926,14692,6166,22.9,2.9,0.67,8050000
朝日工業,東証JQS,鉄鋼,鉄鋼・非鉄 ,32354,1200,1115,820,27507,8404,2190,10697,10289,30.6,10.17,3.07,7200000
巴川製紙所,東証1部,パルプ・紙,素材・化学 ,32379,863,465,252,38275,11727,2894,12574,17922,30.6,2.22,0.65,51947031
多木化学,東証1部,化学,素材・化学 ,32426,1577,1741,1048,38951,22781,2147,1146,22204,58.5,4.7,2.7,4729384
東洋炭素,東証1部,ガラス・土石製品,建設・資材 ,32464,652,759,284,69797,56833,7692,1964,55799,81.4,0.49,0.4,20773988
寿スピリッツ,東証1部,食料品,食品 ,32536,3847,3898,2572,19500,12734,1217,1011,115305,65.3,21.88,13.74,31121520
As-meエステール,東証1部,その他製品,情報通信・サービスその他 ,32579,1360,1292,436,32992,13270,1571,9939,8193,40.2,3.32,1.31,11459223
日工,東証1部,機械,機械 ,32717,1944,1993,1340,44976,29089,9197,1987,18761,64.7,4.65,3.04,8439479
滝沢ハム,東証JQS,食料品,食品 ,32767,501,541,391,13520,3528,1080,4171,6821,26.1,11.76,3,10510000
ダイキアクシス,東証1部,化学,素材・化学 ,32810,931,1136,648,20023,6189,1983,6909,16404,30.9,10.86,3.29,12408800
寺崎電気産業,東証JQS,電気機器,電機・精密 ,32873,1838,2372,1908,46118,28230,1236,4861,19662,61.2,6.83,4.17,13030000
英和,東証2部,卸売業,商社・卸売 ,32886,995,1051,683,22255,8680,1533,1030,5635,39,8.19,3.14,6470000
リリカラ,東証JQS,卸売業,商社・卸売 ,32988,138,79,126,19406,6391,3335,2070,1849,32.9,1.97,0.63,12662100
丸藤シートパイル,東証2部,卸売業,商社・卸売 ,33157,1055,1293,859,45116,25675,3626,5903,13400,56.9,3.4,1.95,40000000
ポプラ,東証1部,小売業,小売 ,33270,-468,-435,289,12749,3252,2410,1000,6931,25.5,9.41,2.28,11787822
日本創発グループ,東証JQS,その他製品,情報通信・サービスその他 ,33290,870,1024,528,28978,8982,400,12105,9933,31,5.8,1.77,12187280
日本化学工業,東証1部,化学,素材・化学 ,33484,3336,3460,2557,58342,32200,5757,13645,23913,55.2,8.37,4.39,89227755
スーパーバッグ,東証2部,パルプ・紙,素材・化学 ,33495,918,800,543,17907,4092,1374,4180,4300,22.9,14.02,3.04,16861544
北越工業,東証1部,機械,機械 ,33510,4592,4547,3030,34680,21571,3416,830,32729,62.2,14.86,9.05,30165418
PALTEK,東証2部,卸売業,商社・卸売 ,33544,515,110,11,15499,8895,1339,3500,9859,57.4,0.12,0.07,11849899
セキチュー,東証JQS,小売業,小売 ,33591,821,962,508,19482,11289,2921,1569,7821,57.9,4.59,2.59,11172300
未来工業,名証2部,その他製品,情報通信・サービスその他 ,33634,4201,4118,2309,60252,48187,7067,1196,43276,80,4.88,3.89,25607086
フューチャー,東証1部,情報・通信業,情報通信・サービスその他 ,33653,3642,3589,2208,23063,17303,1421,1000,44995,75,13.21,9.62,47664000
リックス,東証1部,卸売業,商社・卸売 ,33763,1676,1782,1087,25576,11936,827,2093,15077,46.7,9.52,4.4,8640000
レーサム,東証JQS,不動産業,不動産 ,33774,6963,6715,6523,65267,40903,100,19510,43547,62.7,17.09,10.94,46081400
ミタチ産業,東証1部,卸売業,商社・卸売 ,33780,693,756,478,15620,7068,521,2051,6218,45.2,6.87,3.3,7350000
東急レクリエーション,東証2部,サービス業,情報通信・サービスその他 ,33792,1539,1440,1914,47426,26275,7028,3311,27019,55.4,7.72,4.03,31937474
リンクアンドモチベーション,東証1部,サービス業,情報通信・サービスその他 ,33917,1924,1826,1353,18773,5794,1380,6516,78582,30.9,22.88,7.47,113068000
アイエーグループ,東証JQS,小売業,小売 ,33930,676,970,332,30375,13913,1314,9294,5800,45.8,2.37,1.06,8226800
安永,東証1部,輸送用機器,自動車・輸送機 ,34019,1469,1125,341,33389,10520,2142,12316,40563,31.5,3.29,1.03,12938639
日本コンクリート工業,東証1部,ガラス・土石製品,建設・資材 ,34178,1481,1740,1191,63558,34469,5111,8302,25595,54.2,3.47,1.89,57777432
富士製薬工業,東証1部,医薬品,医薬品 ,34229,3568,3251,2118,48147,29225,3799,4574,61336,60.7,7.33,4.51,15626900
丸山製作所,東証1部,機械,機械 ,34316,707,457,222,34081,13847,4651,7548,9078,40.6,1.57,0.65,5029332
日本エスコン,東証1部,不動産業,不動産 ,34347,4680,3575,3936,73703,17360,6034,51035,33313,23.6,25.11,5.97,69257887
堺商事,東証2部,卸売業,商社・卸売 ,34353,558,479,304,16629,6903,820,1567,3170,41.5,4.47,1.85,10000000
協和日成,東証JQS,建設業,建設・資材 ,34393,1281,1333,1104,23508,13679,590,101,8378,58.2,8.38,4.83,11800000
有沢製作所,東証1部,化学,素材・化学 ,34451,1790,2690,2072,63808,46783,7317,5190,36938,73.3,4.48,3.32,35792224
デリカフーズ,東証1部,卸売業,商社・卸売 ,34559,557,605,329,18062,7095,1377,7219,12545,39.3,4.72,1.87,7436000
エイチーム,東証1部,情報・通信業,情報通信・サービスその他 ,34603,4077,4118,2579,13140,7360,535,632,59675,56,41.83,22.7,19469800
キングジム,東証1部,その他製品,情報通信・サービスその他 ,34627,1641,1828,1204,26971,20263,1978,1022,32882,75.1,6.14,4.46,32459692
サンヨーハウジング名古屋,東証1部,不動産業,不動産 ,34685,1367,1566,851,34960,23118,3732,5753,15599,66.1,3.69,2.41,14884300
クロップス,東証1部,情報・通信業,情報通信・サービスその他 ,34701,1182,1220,755,17458,5081,255,3357,8062,29.1,16.13,4.48,9597400
保土谷化学工業,東証1部,化学,素材・化学 ,34739,2129,2094,1951,53430,31797,11196,9112,72610,59.5,6.43,3.73,8413726
竹田印刷,名証2部,化学,素材・化学 ,34751,744,771,537,29946,14827,1937,2697,5725,49.5,3.71,1.8,8781000
一正蒲鉾,東証1部,食料品,食品 ,34785,1331,1526,846,23520,10279,940,7810,23944,43.7,8.54,3.57,18590000
スターフライヤー,東証2部,空運業,運輸・物流 ,34886,3058,2985,1931,22000,6287,1250,634,12036,28.6,36.69,9.18,2865640
廣済堂,東証1部,その他製品,情報通信・サービスその他 ,34892,2561,2066,-471,81941,24167,4000,27887,8922,29.5,-1.95,-0.58,24922600
フジオフードシステム,東証JQS,小売業,小売 ,34900,2410,2323,1083,21231,7173,1705,8672,38065,33.8,15.43,5.25,21914130
元気寿司,東証1部,小売業,小売 ,34936,1106,1033,440,20141,6445,1151,3769,22500,32,6.99,2.34,8882908
ラックランド,東証1部,サービス業,情報通信・サービスその他 ,34954,1086,1110,709,21221,6188,1524,3450,16263,29.2,11.48,3.46,7864000
ドミー,名証2部,小売業,小売 ,35195,147,247,151,19691,3276,841,9491,6791,16.6,4.67,0.77,13774249
フリービット,東証1部,情報・通信業,情報通信・サービスその他 ,35222,1321,807,-150,25597,9649,4514,5472,21705,37.7,-1.53,-0.63,23414000
ディーブイエックス,東証1部,卸売業,商社・卸売 ,35266,1524,1491,1025,16381,6768,344,69,16333,41.3,16.05,6.53,11280000
ムサシ,東証JQS,卸売業,商社・卸売 ,35268,1107,1242,781,41183,26860,1208,3516,16298,65.2,2.96,1.91,7950000
前田製作所,東証JQS,機械,機械 ,35425,1761,1780,1298,28919,9636,3160,7080,7052,33.3,14.78,4.61,16100000
サマンサタバサジャパンリミテッド,マザーズ,その他製品,情報通信・サービスその他 ,35446,52,445,-470,21717,8544,2132,9167,16201,39.3,-5.26,-2.02,35296000
三晃金属工業,東証1部,建設業,建設・資材 ,35486,2569,2554,1743,29466,14969,1980,1000,13325,50.8,12.16,5.95,3960000
マクロミル,東証1部,情報・通信業,情報通信・サービスその他 ,35514,6825,5882,3706,70815,20347,674,39497,103775,28.7,20.93,5.4,38823400
リーガルコーポレーション,東証JQS,その他製品,情報通信・サービスその他 ,35671,1451,1503,890,30832,15914,5355,4500,9360,51.6,5.83,2.92,32500000
ヴィレッジヴァンガードコーポレーション,東証JQS,小売業,小売 ,35680,215,95,-618,24901,6904,2246,10470,8370,27.7,-8.49,-2.29,7700500
日本ケミファ,東証1部,医薬品,医薬品 ,35689,2836,2849,2054,47002,17346,4304,14804,21691,36.9,12.31,4.53,4261420
ピックルスコーポレーション,東証2部,食料品,食品 ,35801,780,867,548,18524,9272,740,4357,10410,50.1,6.5,3.1,6398000
ゴールドクレスト,東証1部,不動産業,不動産 ,35824,8860,8491,5457,186833,108939,12499,61650,90999,58.3,5.08,2.94,35784000
ミサワホーム中国,東証JQS,建設業,建設・資材 ,35942,1424,1419,760,19411,6627,1369,6488,3358,34.1,11.97,3.73,11540180
SFPホールディングス,東証2部,小売業,小売 ,35957,3307,3560,2081,26257,20174,6682,206,50979,76.8,10.32,7.93,29536000
ダイナック,東証2部,小売業,小売 ,36007,757,944,244,14058,4218,1741,1099,11872,30,5.9,1.75,7033000
フジマック,東証2部,金属製品,建設・資材 ,36094,2153,2270,1502,32622,15024,1471,4607,13187,46.1,10.55,4.56,7136000
三菱化工機,東証1部,機械,機械 ,36104,1294,1352,976,42733,17374,3956,3300,20735,40.7,5.88,2.33,79139500
常磐興産,東証1部,サービス業,情報通信・サービスその他 ,36177,1101,789,548,55237,14833,2141,26185,16085,26.9,3.83,1,8808778
アスラポート・ダイニング,東証JQS,小売業,小売 ,36244,1078,922,526,27722,7372,2910,12491,14305,26.6,8.56,2.05,30896729
宮地エンジニアリンググループ,東証1部,金属製品,建設・資材 ,36298,2530,2612,2184,47146,18871,3000,5000,21589,40,12.38,4.69,69194543
日本高周波鋼業,東証1部,鉄鋼,鉄鋼・非鉄 ,36337,671,836,688,40551,20058,15669,4989,16891,49.5,3.48,1.71,146876174
中道リース,札証,その他金融業,金融（除く銀行） ,36350,638,649,475,113851,7073,2297,89824,3385,6.2,6.72,0.43,8679800
新家工業,東証1部,鉄鋼,鉄鋼・非鉄 ,36363,1657,1814,1296,41632,21658,3940,3935,12877,52,6.21,3.22,60453268
駒井ハルテック,東証1部,金属製品,建設・資材 ,36468,1095,1138,1012,56068,28062,6619,12099,11631,50,3.69,1.84,4972709
北陸電気工業,東証1部,電気機器,電機・精密 ,36470,297,180,111,35640,11491,5200,10145,14615,32.2,0.93,0.31,92500996
扶桑電通,東証2部,卸売業,商社・卸売 ,36524,528,638,293,21998,6883,1083,500,4782,31.3,4.27,1.3,1740245
新田ゼラチン,東証1部,化学,素材・化学 ,36575,1617,1831,693,40410,15727,3144,10723,13891,38.9,4.51,1.78,18373974
パンチ工業,東証1部,機械,機械 ,36648,1990,1874,1375,29451,14168,2897,6806,22111,48.1,9.77,4.84,11061200
日精樹脂工業,東証1部,機械,機械 ,36730,2522,2025,1467,53749,30412,5362,3440,31827,56.6,4.91,2.85,22272000
エスアールジータカミヤ,東証1部,サービス業,情報通信・サービスその他 ,36763,2429,2337,1516,52760,12338,714,27002,28925,23.4,12.58,2.95,45407600
ホギメディカル,東証1部,繊維製品,素材・化学 ,36859,7443,7403,5786,103196,89623,7123,508,133997,86.8,6.53,5.7,16341155
守谷商会,東証JQS,建設業,建設・資材 ,36881,1587,1712,1172,25487,7847,1712,2400,4509,30.8,16.07,5.03,11300000
ツバキ・ナカシマ,東証1部,機械,機械 ,36886,6922,6409,4632,93382,43992,16299,38917,103378,47.1,10.41,4.91,40240600
